i,j,gamma_pred
15,52,0.04623963325449725
39,53,0.07388638919168208
39,99,0.04503817859713127
35,87,0.08005237919435698
30,48,-0.08453849275578369
35,55,-0.04704827199739972
13,82,-0.07540294561000625
27,74,-0.0500132731759691
10,39,-0.0643839673954662
3,27,0.051210323416931935
4,21,-0.18346640915434517
31,94,0.03175820144621147
71,82,0.09522962417857782
4,89,0.07921089252519989
9,57,-0.1447810115242868
87,99,-0.09234516402839224
6,43,0.10105839528235416
29,92,0.02515021977144221
29,41,-0.06108726608609831
59,92,-0.042510612504866846
28,39,-0.0685122679623978
51,71,0.08153409112969892
6,8,0.1072760759810184
71,85,-0.07284570599406232
58,94,-0.07788449093621744
1,37,0.10572976676923783
23,57,0.10334195604918817
0,63,0.14644513966954775
14,44,-0.048708423088661044
14,90,0.14749324756572138
1,95,-0.08280778021023366
10,78,-0.18777767817533683
31,78,0.0980835659850005
39,94,-0.12574822238669386
27,77,0.29072656667690927
15,41,0.058363257164983154
20,55,-0.08589997104680511
83,95,0.18304283519601874
46,67,-0.03632551242960878
8,89,-0.0900387701008355
10,79,0.1704505518853569
27,31,-0.21631683141543798
14,69,0.10413931600755277
43,46,0.13394847379180608
28,79,-0.23358946995023905
51,81,0.09677012745858916
55,84,0.06613518036317806
22,72,0.06550296039633649
6,98,-0.2604843444739465
57,81,-0.08148876885052339
2,69,-0.1902883889492551
51,53,-0.12379442589003462
1,19,0.15000302446384295
12,13,-0.08479060845167884
33,34,-0.05524247792971311
58,69,0.10063883082567922
30,92,0.07434177263293616
0,43,-0.36333919191354275
4,12,-0.07395031618164337
51,62,-0.1388126455806471
28,50,0.13969987297489156
1,56,-0.12825484100757484
33,51,0.0436385332228412
43,99,0.03211286489884155
6,63,-0.05082332102902849
51,83,-0.19537649302422358
19,25,-0.03453163894233655
2,21,0.16307585346061246
14,19,-0.0977150118547172
16,93,-0.011138159122533575
4,52,-0.027212446558408182
40,51,0.11848256721834258
10,12,0.2286042971473821
6,26,0.025179126773873253
80,98,0.061874947712936744
42,48,0.06422429368950622
7,9,0.048514357805934584
48,60,0.10042425703746427
14,77,-0.14251106331710442
4,62,0.13040446948132917
62,69,-0.023079488139980828
8,14,0.10831082235377026
33,70,0.03722258744830814
1,62,0.06458461666214207
1,80,-0.06649726480569024
46,95,-0.04092411818440468
78,94,0.14418544072033812
81,97,0.07321175479620771
69,98,0.07487288218016999
0,56,0.08242990128634545
28,36,0.061380817448424635
58,82,0.05630566199801432
29,86,0.04560456362863286
23,65,-0.057833941814020046
37,97,-0.07764936503614155
21,91,-0.041100455234380905
8,92,-0.076195922083699
47,90,-0.0475017869259889
61,71,-0.02174030705793506
6,21,0.04045511315743927
69,83,-0.026693372528602557
9,51,0.07132474843452638
0,53,0.09305754130395887
33,77,-0.0852656158072984
15,22,-0.04272108210366417
13,54,0.08558490866139942
3,59,-0.04875798080119334
36,39,0.09473133419483856
1,24,0.09454553321240786
78,81,-0.041140988467428134
51,87,0.03786913131933645
11,63,-0.042815035542148855
13,33,0.007189049416964272
66,68,-0.06603427092335473
48,75,-0.01495588282350295
2,17,-0.006922236481460994
10,55,0.09413066966239483
10,90,-0.0601849873959321
50,97,-0.0019964793293758207
82,95,-0.01864796014987935
22,67,0.02803549280304568
14,55,-0.023379323401607283
42,54,-0.027020510850960203
10,87,-0.11606705043426412
12,77,-0.016487204764972285
