i,j,gamma_pred,gamma_true,abs_error
4,21,-0.22899452482535593,-0.3242203552369198,0.09522583041156385
29,41,-0.08858358425064744,-0.2128240855996622,0.12424050134901476
16,44,0.03435362238951842,0.1412777330157724,0.10692411062625398
51,53,-0.07964894733001582,-0.1608458698045767,0.0811969224745609
28,46,0.059532632366482124,0.0239959885677207,0.035536643798761425
4,29,0.09810220117440968,0.1508896128544321,0.052787411680022406
6,43,0.11015065261563278,0.0375030183932787,0.07264763422235408
2,20,0.06193040672488347,0.0994514923129748,0.03752108558809133
27,31,-0.11451058894399588,-0.2483844745092493,0.13387388556525343
77,90,-0.09640943254565024,-0.1881968356202924,0.09178740307464217
52,65,-0.1599891245347594,-0.1472366873431835,0.012752437191575927
21,91,-0.09386872617183889,-0.1494305432893237,0.05556181711748481
28,41,-0.1007669057642657,-0.1141179014513154,0.0133509956870497
34,81,0.09937278705289845,0.0846239577705502,0.014748829282348247
6,98,-0.2773606571993574,-0.25698860138363,0.020372055815727375
10,12,0.19952441919716024,0.2908932068959716,0.09136878769881135
1,94,-0.10359033893725143,-0.1629133200819353,0.05932298114468386
46,57,0.09435506366281404,0.3080161543882652,0.21366109072545114
14,46,-0.07627456881971494,-0.076374199438135,9.963061842006848e-05
63,74,-0.11210815176427735,-0.2010120938855778,0.08890394212130046
58,82,0.10038249863800525,0.1835960110755271,0.08321351243752184
51,83,-0.21258576532249812,-0.2467103583979995,0.03412459307550139
31,90,-0.09359492046450622,-0.1362452567684362,0.04265033630392999
30,35,-0.04746827526961149,0.0898470884578497,0.13731536372746117
48,60,0.0943278087112473,0.1981344396417556,0.10380663093050829
64,92,-0.12439323663401801,-0.2308071603380452,0.10641392370402718
2,82,-0.20965214073412983,-0.0781401389322305,0.13151200180189931
10,79,0.21339043514593767,0.2679191837120975,0.05452874856615983
9,57,-0.21429613810466203,-0.2767896250252012,0.06249348692053919
10,78,-0.15776536348818035,-0.2547190680974293,0.09695370460924893
63,67,0.060386836596131394,0.0425136705295917,0.017873166066539693
28,79,-0.2052269948673865,-0.2636494980719738,0.058422503204587306
31,64,0.051701260444311364,0.2191633049741331,0.16746204452982175
1,31,0.07073480964766153,0.2912508389809505,0.22051602933328895
28,71,0.15599863851519158,0.1374296090250016,0.018569029490189987
44,78,0.17607094723871103,0.2007037869401224,0.024632839701411363
63,89,-0.07047808106726847,0.00299420592806,0.07347228699532847
1,19,0.14182189930873207,0.2481164735083491,0.10629457419961702
0,43,-0.3540022223703094,-0.4145072912253318,0.06050506885502238
51,62,-0.15606425393588536,-0.1439625162247685,0.012101737711116861
0,3,0.22277190061790142,0.1301709878130358,0.09260091280486563
83,95,0.08390269065553593,0.1553366235500497,0.07143393289451377
39,94,-0.124426239578731,-0.1562958527487007,0.031869613169969696
14,90,0.22096168689521162,0.2037292535937933,0.017232433301418326
39,98,0.15474976773775273,0.1106789223059276,0.04407084543182513
27,77,0.14198878869276763,0.2705247144614888,0.12853592576872117
48,62,0.016019572139454416,0.0042156140766726,0.011803958062781816
87,99,-0.08190984727189347,-0.1864200416114497,0.10451019433955623
49,62,0.07044054628072544,0.0127630072108659,0.057677539069859535
41,74,0.1045994896554843,0.1950023019586046,0.0904028123031203
23,48,-0.08567952617394908,-0.1045838089927197,0.018904282818770615
2,21,0.13657751643810184,0.1342453139442438,0.0023322024938580432
22,89,0.06822326776528669,0.1564171946905538,0.0881939269252671
17,90,0.05486386925763804,0.163639783982319,0.10877591472468096
2,19,-0.08241108441250454,-0.084390165666049,0.001979081253544457
33,51,0.06872497869054237,0.0473812221712481,0.021343756519294266
40,51,0.10610303077824826,0.135959787143935,0.029856756365686743
2,69,-0.06793077452729512,-0.2824679927175618,0.21453721819026667
