i,j,gamma_true,times_found,detection_rate,mean_gamma_pred,gamma_error_when_found
0,43,-0.4145072912253318,6,1.0,-0.35046090813965297,0.06404638308567884
0,11,-0.3815893570661723,0,0.0,,
4,21,-0.3242203552369198,6,1.0,-0.19362621314264897,0.1305941420942708
27,64,-0.316006568768267,1,0.16666666666666666,-0.1136262481852651,0.2023803205830019
2,69,-0.2824679927175618,4,0.6666666666666666,-0.1292219183731942,0.1532460743443676
9,80,-0.2797129728649806,0,0.0,,
9,57,-0.2767896250252012,4,0.6666666666666666,-0.15283082470722104,0.12395880031798018
36,77,-0.268872818314823,1,0.16666666666666666,-0.0856603842121132,0.18321243410270982
28,79,-0.2636494980719738,6,1.0,-0.1997924155104329,0.0638570825615409
6,98,-0.25698860138363,6,1.0,-0.28292208343832553,0.025933482054695534
42,44,-0.2556994409447122,2,0.3333333333333333,-0.14629864810627063,0.10940079283844156
10,78,-0.2547190680974293,5,0.8333333333333334,-0.19427092739105165,0.060448140706377634
27,31,-0.2483844745092493,3,0.5,-0.14768490683703991,0.10069956767220939
51,83,-0.2467103583979995,6,1.0,-0.22302888985073868,0.02368146854726083
57,81,-0.2355107405265004,2,0.3333333333333333,-0.07983619349509186,0.15567454703140854
64,92,-0.2308071603380452,3,0.5,-0.10691033995003353,0.12389682038801166
73,81,-0.2303961947556231,0,0.0,,
2,80,-0.2297544090586974,0,0.0,,
48,52,-0.2287157353450832,0,0.0,,
64,74,-0.2268179236721574,0,0.0,,
29,41,-0.2128240855996622,3,0.5,-0.07165242138525191,0.1411716642144103
63,78,-0.2036929507153524,3,0.5,-0.14957839388792746,0.05411455682742494
63,74,-0.2010120938855778,1,0.16666666666666666,-0.1121081517642773,0.08890394212130051
47,82,-0.1891188015893121,0,0.0,,
77,90,-0.1881968356202924,2,0.3333333333333333,-0.1388937785206566,0.04930305709963581
46,67,-0.1875875271471101,2,0.3333333333333333,-0.06480461392224175,0.12278291322486835
87,99,-0.1864200416114497,5,0.8333333333333334,-0.10265777052459846,0.08376227108685125
7,8,-0.1819197565916722,0,0.0,,
65,82,-0.1788735588488424,0,0.0,,
37,89,-0.1734616754187893,0,0.0,,
1,94,-0.1629133200819353,2,0.3333333333333333,-0.10122649445144245,0.06168682563049284
51,53,-0.1608458698045767,3,0.5,-0.10737001693659104,0.053475852867985674
39,94,-0.1562958527487007,6,1.0,-0.13779437824452329,0.018501474504177412
61,69,-0.1546242064126149,0,0.0,,
15,57,-0.1526612676431656,1,0.16666666666666666,-0.0944469196056899,0.05821434803747569
16,45,-0.1523072585703195,1,0.16666666666666666,-0.1097161662377066,0.04259109233261289
14,38,-0.1520591234744997,1,0.16666666666666666,-0.1104159139558672,0.04164320951863251
21,91,-0.1494305432893237,5,0.8333333333333334,-0.12019079909599403,0.02923974419332967
52,65,-0.1472366873431835,4,0.6666666666666666,-0.1460192390707674,0.0012174482724160995
73,94,-0.1469015494615975,0,0.0,,
51,62,-0.1439625162247685,2,0.3333333333333333,-0.1474384497582662,0.003475933533497705
8,33,-0.1398105902272973,0,0.0,,
71,90,-0.139757439456177,0,0.0,,
2,4,-0.136419574521492,0,0.0,,
31,90,-0.1362452567684362,1,0.16666666666666666,-0.0935949204645062,0.04265033630393002
9,61,-0.128479599601385,0,0.0,,
56,63,-0.1266022759089656,0,0.0,,
0,90,-0.125868541827553,0,0.0,,
59,92,-0.1193792525826649,1,0.16666666666666666,-0.0425106125048668,0.07686864007779809
28,59,-0.1187025977163456,0,0.0,,
5,29,-0.1181712876618212,0,0.0,,
52,55,-0.1181557795526672,0,0.0,,
12,28,-0.1179705712368218,0,0.0,,
38,84,-0.116756592351416,0,0.0,,
84,96,-0.1154826448434347,2,0.3333333333333333,-0.08069753421809994,0.034785110625334764
28,41,-0.1141179014513154,1,0.16666666666666666,-0.1007669057642657,0.0133509956870497
65,92,-0.1140307886681242,0,0.0,,
48,70,-0.1135513060359618,2,0.3333333333333333,-0.1160722137381833,0.002520907702221506
47,91,-0.1117062725646942,0,0.0,,
60,90,-0.1085760396044529,0,0.0,,
30,32,-0.1068161237938458,0,0.0,,
57,66,-0.1064148049052906,0,0.0,,
13,27,-0.1055385769603663,1,0.16666666666666666,-0.0402060175007707,0.0653325594595956
51,85,-0.1053726432050216,0,0.0,,
26,37,-0.1047839569358581,0,0.0,,
23,48,-0.1045838089927197,2,0.3333333333333333,-0.08958018860408025,0.01500362038863945
45,62,-0.1039642267748664,0,0.0,,
15,29,-0.1029515984164165,1,0.16666666666666666,-0.0640442335960834,0.03890736482033311
48,69,-0.1021585968427157,2,0.3333333333333333,-0.0635195871239561,0.038639009718759595
30,78,-0.1014056470118351,0,0.0,,
27,74,-0.1008133403673198,3,0.5,-0.088558922737713,0.0122544176296068
47,58,-0.0990148934194411,1,0.16666666666666666,-0.1251678922643881,0.026152998844946998
5,47,-0.0963079011880225,0,0.0,,
7,53,-0.0961482712948207,1,0.16666666666666666,-0.0719150299310002,0.024233241363820504
15,61,-0.0959863624321857,0,0.0,,
40,57,-0.0950976403915279,0,0.0,,
15,96,-0.0948749031193763,0,0.0,,
40,78,-0.0946153498778346,0,0.0,,
26,68,-0.0920362440900743,0,0.0,,
50,64,-0.0915691605713492,0,0.0,,
1,33,-0.0912212952593771,2,0.3333333333333333,-0.06335628322796019,0.027865012031416905
27,54,-0.0904069882755775,0,0.0,,
4,49,-0.0894778084600404,0,0.0,,
27,50,-0.0885716412830858,0,0.0,,
21,79,-0.0880562711109181,0,0.0,,
11,65,-0.0876381062546377,0,0.0,,
31,53,-0.0865316737368749,0,0.0,,
52,99,-0.0852823790273845,1,0.16666666666666666,-0.0736088256571204,0.0116735533702641
50,91,-0.0852682107602252,0,0.0,,
36,95,-0.0851381710086771,0,0.0,,
66,86,-0.0848024228450601,0,0.0,,
2,19,-0.084390165666049,4,0.6666666666666666,-0.09879205383910393,0.014401888173054933
40,93,-0.0838429128158027,0,0.0,,
54,86,-0.0830568303574888,0,0.0,,
52,71,-0.0814023929301857,2,0.3333333333333333,-0.1031299364786587,0.021727543548473005
35,57,-0.0812949815559972,0,0.0,,
35,72,-0.0810607691397105,0,0.0,,
54,66,-0.0807228906253453,0,0.0,,
30,80,-0.0805172492472544,0,0.0,,
58,88,-0.0787198790658242,0,0.0,,
40,49,-0.0786688028076916,0,0.0,,
25,49,-0.078650310951994,0,0.0,,
0,80,-0.078282787015194,0,0.0,,
73,74,-0.0782152757886574,0,0.0,,
2,82,-0.0781401389322305,4,0.6666666666666666,-0.19045439638782224,0.11231425745559175
63,69,-0.0776559461003482,0,0.0,,
74,94,-0.0769872920041083,0,0.0,,
14,46,-0.076374199438135,2,0.3333333333333333,-0.051313367751049194,0.02506083168708581
21,70,-0.0756595964699269,0,0.0,,
2,53,-0.0754601401532886,0,0.0,,
56,57,-0.0744602221065141,0,0.0,,
18,62,-0.0733007350273986,0,0.0,,
20,83,-0.0730775907328318,0,0.0,,
75,89,-0.07301290237404,0,0.0,,
8,64,-0.0727359156641364,0,0.0,,
38,50,-0.0710548819023438,0,0.0,,
45,72,-0.0703938708770055,0,0.0,,
36,91,-0.0701326998816713,0,0.0,,
4,56,-0.0698720949222799,0,0.0,,
5,93,-0.069845114396117,0,0.0,,
40,41,-0.0697756939906361,2,0.3333333333333333,-0.0359477718164872,0.0338279221741489
84,85,-0.068190504525647,0,0.0,,
9,40,-0.067384396074575,0,0.0,,
7,15,-0.0658423022889176,0,0.0,,
29,43,-0.0655330356765584,0,0.0,,
87,98,-0.0646899595983477,0,0.0,,
21,43,-0.063677707252706,0,0.0,,
19,80,-0.0635105954945015,0,0.0,,
38,78,-0.0634567651543764,0,0.0,,
70,98,-0.0632506848879383,0,0.0,,
31,32,-0.062640763039652,0,0.0,,
3,10,-0.062282522364245,0,0.0,,
23,41,-0.0614463806968907,0,0.0,,
47,62,-0.061280550183865,0,0.0,,
48,67,-0.060845897724362,0,0.0,,
48,65,-0.0602002810024425,0,0.0,,
58,63,-0.0597720521738607,0,0.0,,
33,35,-0.0593851023969419,0,0.0,,
65,91,-0.0584884699743567,0,0.0,,
65,85,-0.058422825205205,0,0.0,,
59,65,-0.0584062894355304,0,0.0,,
45,86,-0.0582566431662646,0,0.0,,
69,80,-0.0582305254781458,0,0.0,,
23,56,-0.0575726894837215,0,0.0,,
14,27,-0.0568723161384741,0,0.0,,
20,42,-0.055880896576044,0,0.0,,
29,66,-0.055241741802324,0,0.0,,
69,94,-0.0552263702557083,0,0.0,,
23,35,-0.0542499432211382,0,0.0,,
48,66,-0.0532422408868833,0,0.0,,
43,91,-0.0530546714516482,0,0.0,,
33,86,-0.0526822917620888,0,0.0,,
25,56,-0.0523196969880125,0,0.0,,
13,64,-0.0515710356884818,0,0.0,,
53,72,-0.0503250456410235,0,0.0,,
73,91,-0.0502851109547403,0,0.0,,
49,82,-0.049966226056298,0,0.0,,
53,65,-0.0499579842314335,0,0.0,,
3,35,-0.0482113861730471,0,0.0,,
5,49,-0.0481906225624995,0,0.0,,
19,40,-0.0477055767442321,0,0.0,,
74,96,-0.046698479445653,0,0.0,,
85,89,-0.0460505233048546,1,0.16666666666666666,-0.0743862017638368,0.028335678458982196
18,97,-0.0458053286952109,0,0.0,,
41,66,-0.0457724719709266,0,0.0,,
23,27,-0.0456574976967953,0,0.0,,
35,70,-0.045569360979361,0,0.0,,
66,95,-0.0446430090050735,0,0.0,,
86,96,-0.0446327723285925,0,0.0,,
30,57,-0.0444960480855477,0,0.0,,
85,95,-0.0442733065655834,0,0.0,,
69,96,-0.0437416424099856,0,0.0,,
29,88,-0.0426656670121948,0,0.0,,
