i,j,gamma_pred,gamma_true,abs_error,auc,is_true
27,45,0.16000000000000003,0.328304717207896,0.16830471720789597,0.7698890892348417,True
98,99,0.16000000000000003,0.2950001393628508,0.13500013936285077,0.7693656823444365,True
57,89,-0.16000000000000003,-0.2786923107479562,0.11869231074795616,0.7692609276167175,True
4,14,-0.16000000000000003,-0.2518272998633794,0.09182729986337934,0.7692324721188466,True
44,86,0.07999999999999996,0.2049060735700982,0.12490607357009825,0.7691841367882314,True
22,27,0.07999999999999996,0.191260435690568,0.11126043569056804,0.769133801249402,True
2,6,0.07999999999999996,0.2550621785158429,0.17506217851584294,0.7690716101201432,True
43,98,0.07999999999999996,0.1416245042931549,0.06162450429315494,0.7690616324885314,True
18,61,0.07999999999999996,0.3071132794152939,0.22711327941529397,0.7690423873122293,True
38,39,0.07999999999999996,0.2810035034752869,0.20100350347528695,0.7690409801436416,True
0,34,-0.08000000000000002,-0.3170288771540651,0.23702887715406507,0.7690369381103976,True
29,63,-0.08000000000000002,,,0.768987075962849,False
70,97,0.07999999999999996,0.1431811370568763,0.06318113705687634,0.7689809895035238,True
14,59,-0.08000000000000002,-0.2063455704917005,0.12634557049170048,0.7689793794529586,True
51,69,-0.08000000000000002,-0.1821000993260365,0.10210009932603648,0.7689625714614375,True
32,75,0.07999999999999996,0.2417350656100532,0.16173506561005324,0.7689424783425115,True
27,70,0.07999999999999996,0.1009686715071414,0.020968671507141434,0.7689411153917907,True
44,53,0.07999999999999996,,,0.7689398356747019,False
25,33,0.07999999999999996,0.2113610955372522,0.13136109553725225,0.768932037723823,True
38,70,0.07999999999999996,0.0168593903899129,0.06314060961008706,0.7689235270849716,True
29,88,-0.08000000000000002,-0.1733753798485215,0.09337537984852148,0.7689223540109734,True
22,70,0.07999999999999996,0.1341476418749081,0.05414764187490814,0.768910971811825,True
27,49,-0.08000000000000002,-0.201089276663147,0.12108927666314698,0.7689103111448727,True
4,41,0.07999999999999996,0.2628043061795943,0.18280430617959437,0.7689081236609872,True
44,71,0.07999999999999996,,,0.7689012828968737,False
14,21,-0.08000000000000002,,,0.7689010488022843,False
14,63,-0.08000000000000002,,,0.7689001670459975,False
57,99,0.07999999999999996,,,0.7688980393862846,False
18,76,0.07999999999999996,0.3461334524251759,0.26613345242517594,0.7688892010150081,True
43,57,0.07999999999999996,0.0714118103773732,0.008588189622626766,0.7688866936018502,True
14,87,-0.08000000000000002,,,0.7688847688241149,False
18,80,-0.08000000000000002,,,0.7688781309419791,False
10,63,-0.08000000000000002,,,0.7688776159338824,False
68,90,0.07999999999999996,0.2067899518248412,0.12678995182484123,0.7688720470837049,True
61,97,0.07999999999999996,0.1977326473432784,0.11773264734327843,0.7688687437489429,True
42,63,-0.08000000000000002,,,0.7688676591106786,False
11,20,-0.08000000000000002,-0.1360703042308577,0.05607030423085768,0.7688663845956917,True
23,72,-0.08000000000000002,,,0.7688652375322035,False
44,91,0.07999999999999996,,,0.7688651881122346,False
6,44,0.07999999999999996,,,0.768864550854741,False
1,14,-0.08000000000000002,,,0.7688642673401829,False
11,82,0.07999999999999996,,,0.7688640332455933,False
63,92,-0.08000000000000002,,,0.7688637133163212,False
25,70,0.07999999999999996,,,0.768863047447267,False
85,87,-0.08000000000000002,,,0.7688629277989211,False
63,93,-0.08000000000000002,,,0.7688608833728402,False
28,44,0.07999999999999996,0.0788037039803508,0.0011962960196491568,0.7688573901613556,True
1,10,-0.08000000000000002,,,0.7688551818690619,False
39,96,-0.08000000000000002,-0.2879849821255457,0.20798498212554567,0.7688529631725642,True
51,63,-0.08000000000000002,,,0.7688521672509603,False
30,62,0.07999999999999996,0.130979435498246,0.050979435498246045,0.7688514311535289,True
29,85,-0.08000000000000002,,,0.7688471030046756,False
60,63,-0.08000000000000002,,,0.7688449571376059,False
38,45,-0.08000000000000002,-0.1841020795227644,0.10410207952276437,0.7688445149589369,True
49,84,-0.08000000000000002,,,0.7688438360846275,False
61,89,0.07999999999999996,0.0589908727608386,0.02100912723916136,0.7688423560866122,True
20,63,-0.08000000000000002,,,0.7688422130288075,False
56,63,-0.08000000000000002,,,0.7688388940877395,False
3,41,-0.08000000000000002,,,0.7688386417857932,False
1,26,-0.08000000000000002,,,0.7688381501871553,False
36,63,-0.08000000000000002,,,0.7688371461814718,False
55,63,-0.08000000000000002,,,0.768836667588089,False
34,36,-0.08000000000000002,-0.1179512152788479,0.037951215278847886,0.7688364907166214,True
67,80,-0.08000000000000002,-0.1242560874699613,0.04425608746996128,0.7688360251284936,True
44,70,0.07999999999999996,,,0.7688357936349551,False
39,90,0.07999999999999996,,,0.7688343344453477,False
63,78,-0.08000000000000002,,,0.7688318218300877,False
52,85,-0.08000000000000002,,,0.7688316319533651,False
2,79,-0.08000000000000002,,,0.7688309296695971,False
27,40,0.07999999999999996,0.0258975514161931,0.05410244858380686,0.7688293170179809,True
19,87,-0.08000000000000002,,,0.7688289138550768,False
37,70,0.07999999999999996,,,0.7688286927657424,False
57,73,0.07999999999999996,0.1478918322550383,0.06789183225503834,0.768827589920121,True
63,74,-0.08000000000000002,,,0.7688272803950528,False
37,77,0.07999999999999996,,,0.7688269838752396,False
4,44,0.07999999999999996,0.0494630984150033,0.03053690158499666,0.7688251059164221,True
3,63,-0.08000000000000002,,,0.768824375021093,False
12,63,-0.08000000000000002,,,0.7688219612457706,False
27,72,0.07999999999999996,0.0273746580342339,0.052625341965766056,0.7688214332324191,True
44,65,0.07999999999999996,,,0.7688212771693594,False
70,90,0.07999999999999996,,,0.7688208844106594,False
27,44,0.07999999999999996,,,0.7688208818096084,False
10,44,0.07999999999999996,,,0.768820273163676,False
2,52,-0.08000000000000002,-0.0674972452916599,0.012502754708340114,0.7688189830423829,True
1,63,-0.08000000000000002,,,0.7688166941175085,False
19,80,-0.08000000000000002,,,0.7688166577027947,False
32,47,-0.08000000000000002,,,0.7688146991113963,False
54,63,-0.08000000000000002,,,0.7688146913082434,False
34,47,-0.08000000000000002,,,0.7688145950693567,False
38,57,0.07999999999999996,0.1076357770441743,0.027635777044174345,0.7688125064254088,True
27,64,0.07999999999999996,,,0.7688103917709509,False
29,52,-0.08000000000000002,-0.0977774116043279,0.017777411604327886,0.7688095802430409,True
61,70,0.07999999999999996,,,0.7688093565526555,False
0,3,-0.08000000000000002,,,0.7688089533897514,False
46,86,-0.08000000000000002,,,0.7688077517041924,False
25,45,0.07999999999999996,,,0.7688072002813817,False
44,77,0.07999999999999996,0.0381187111640087,0.04188128883599126,0.7688068751500075,True
3,59,-0.08000000000000002,,,0.7688067242890498,False
44,94,0.07999999999999996,,,0.7688064615828994,False
3,68,-0.08000000000000002,-0.1549597817296263,0.07495978172962628,0.7688063211261459,True
3,50,-0.08000000000000002,,,0.7688061312494233,False
1,74,-0.08000000000000002,,,0.7688055564171538,False
3,84,-0.08000000000000002,,,0.7688054679814199,False
32,90,0.07999999999999996,0.2232740349420009,0.14327403494200094,0.7688042480885039,True
0,99,0.07999999999999996,0.1698447025674551,0.08984470256745514,0.7688026692505507,True
53,64,0.07999999999999996,,,0.7688026198305818,False
20,50,-0.08000000000000002,,,0.7688022296729328,False
59,89,-0.08000000000000002,-0.0870891293506802,0.007089129350680179,0.7688019123447115,True
41,44,0.07999999999999996,,,0.7688009993758127,False
44,88,0.07999999999999996,,,0.7688001358268828,False
85,96,-0.08000000000000002,,,0.7688000265827412,False
3,49,0.07999999999999996,0.2405808379727752,0.16058083797277525,0.768798861311896,True
1,54,-0.08000000000000002,,,0.7687987650730093,False
70,75,0.07999999999999996,,,0.7687975763927052,False
63,85,-0.08000000000000002,,,0.7687974099254414,False
17,44,0.07999999999999996,0.0082347691426664,0.07176523085733356,0.7687971342140362,True
25,46,-0.08000000000000002,-0.1885802253743633,0.10858022537436329,0.7687968637047329,True
21,84,-0.08000000000000002,,,0.7687966816311633,False
63,94,-0.08000000000000002,,,0.7687961926335765,False
9,75,0.07999999999999996,,,0.7687961718251685,False
58,63,-0.08000000000000002,,,0.7687958076780294,False
29,87,-0.08000000000000002,,,0.7687957088380918,False
50,87,-0.08000000000000002,,,0.7687954539350943,False
27,99,0.07999999999999996,0.1868989173569588,0.10689891735695883,0.7687953264835956,True
49,57,-0.08000000000000002,,,0.7687944473283597,False
