i,j,gamma_hat,gamma_true,abs_error,auc,is_true
27,45,0.15797242711086332,0.328304717207896,0.17033229009703268,0.7698677450103878,True
98,99,0.14348984080887095,0.2950001393628508,0.15151029855397985,0.7693940233960634,True
57,89,-0.14724134656882365,-0.2786923107479562,0.13145096417913255,0.7693081548996096,True
4,14,-0.1074210810283236,-0.2518272998633794,0.14440621883505578,0.7692840925768671,True
44,86,0.08183299077247594,0.2049060735700982,0.12307308279762227,0.7691717297749915,True
22,27,0.0752552540849777,0.191260435690568,0.1160051816055903,0.76910662546862,True
2,6,0.09170221817296031,0.2550621785158429,0.16335996034288258,0.7690780997423725,True
43,98,0.1089350581258416,0.1416245042931549,0.0326894461673133,0.7690685616883787,True
38,39,0.09218734671959611,0.2810035034752869,0.1888161567556908,0.7690442834784037,True
18,61,0.08317353117840628,0.3071132794152939,0.22393974823688764,0.7690390085469885,True
0,34,-0.08332625402932263,-0.3170288771540651,0.23370262312474244,0.7690338350565621,True
70,97,0.0790527233436669,0.1431811370568763,0.06412841371320939,0.7689774078563054,True
14,59,-0.05810609899395654,-0.2063455704917005,0.14823947149774397,0.7689462680738092,True
32,75,0.09356452588431449,0.2417350656100532,0.1481705397257387,0.7689408812972012,True
51,69,-0.06201250033147374,-0.1821000993260365,0.12008759899456276,0.7689405899794899,True
29,63,-0.05077453132816147,,,0.7689306305552354,False
25,33,0.071484135769905,0.2113610955372522,0.1398769597673472,0.7689249524609161,True
4,41,0.07098764725727051,0.2628043061795943,0.1918166589223238,0.7689067737155214,True
27,49,-0.09347942062991742,-0.201089276663147,0.10760985603322958,0.7689063601484134,True
29,88,-0.05469370704422071,-0.1733753798485215,0.11868167280430078,0.7689009733718054,True
27,70,0.047857045871703335,0.1009686715071414,0.05311162563543806,0.7688969677532753,True
18,76,0.0564809342320866,0.3461334524251759,0.2896525181930893,0.7688844176822308,True
18,80,-0.07357648232926185,,,0.7688826437654531,False
57,99,0.05719253157928435,,,0.7688820767363365,False
68,90,0.06820250876810668,0.2067899518248412,0.1385874430567345,0.7688813640483642,True
38,70,0.04432876804119093,0.0168593903899129,0.02746937765127803,0.7688754752689144,True
43,57,0.056192887613832065,0.0714118103773732,0.015218922763541129,0.7688753244079568,True
