locus,beta_hat,OR,p_value,p_adj
Locus_0,0.2756048685054039,1.3173272436946586,5.519816339296955e-14,5.519816339296955e-12
Locus_1,0.11839059886805141,1.125683716292528,2.720353525860532e-06,0.0002720353525860532
Locus_2,0.13298311764611534,1.1422307146249753,3.4248614798154473e-07,3.424861479815447e-05
Locus_3,0.11795293076007542,1.1251911482287678,1.4854308237990566e-05,0.0014854308237990566
Locus_4,0.3863134252464297,1.4715458181540464,4.490957435417978e-20,4.490957435417978e-18
Locus_5,0.24923126170737453,1.2830387164869346,6.421017201357485e-19,6.421017201357485e-17
Locus_6,-0.13826520794578867,0.8708677000829473,5.951437263248897e-07,5.9514372632488965e-05
Locus_7,-0.14121636067060672,0.8683014250941429,1.5757165950566724e-06,0.00015757165950566724
Locus_8,0.09793119290358678,1.1028868960526954,0.0002717733625287007,0.02717733625287007
Locus_9,0.1397038248101783,1.1499331667423844,1.682693576890196e-07,1.682693576890196e-05
Locus_10,0.37267022726396476,1.4516055609555236,1.8200252294837462e-22,1.8200252294837462e-20
Locus_11,-0.19035977730637565,0.8266616663279268,1.7932694889358878e-10,1.7932694889358877e-08
Locus_12,0.17982212742798767,1.1970044299282228,3.649761638156481e-10,3.6497616381564815e-08
Locus_13,-0.3822157570431998,0.6823478159750179,5.231113455235387e-10,5.231113455235387e-08
Locus_14,-0.24769253825293627,0.7805999109980899,1.0484754544859652e-10,1.0484754544859651e-08
Locus_15,0.15505689817175422,1.167724400598471,1.8237612473228698e-08,1.8237612473228698e-06
Locus_16,-0.12779119596205465,0.8800371152647635,2.8990511575023092e-06,0.00028990511575023093
Locus_17,0.09480859054339723,1.0994483901653294,0.00010414694892831258,0.010414694892831259
Locus_18,0.10382718204809309,1.1094087126062628,8.011121509557409e-05,0.00801112150955741
Locus_19,0.11445220773483895,1.1212590522734676,2.6416588429302366e-06,0.00026416588429302364
Locus_20,-0.11712102081810845,0.8894775413497442,1.9434784404021186e-05,0.0019434784404021186
Locus_21,-0.07078453475229494,0.9316626114181464,0.008634726616304326,0.8634726616304326
Locus_22,0.21198816219760805,1.2361332518907253,2.3337256026996545e-15,2.3337256026996546e-13
Locus_23,0.17788767076768944,1.1946911149615063,2.700183385753398e-10,2.700183385753398e-08
Locus_24,-0.34015293784109135,0.7116614744698171,5.496980593053896e-13,5.496980593053896e-11
Locus_25,-0.16285598336078289,0.8497135524932744,1.2665849520486156e-08,1.2665849520486156e-06
Locus_26,0.8403313760597945,2.317134692537181,1.7553270027562406e-51,1.755327002756241e-49
Locus_27,0.39068224650624,1.4779888026851955,3.5462841186469436e-19,3.546284118646943e-17
Locus_28,-0.0996251200253279,0.9051766870529222,0.00012118980319783071,0.012118980319783071
Locus_29,-0.17335008691868273,0.8408431951081103,9.752993405909526e-10,9.752993405909526e-08
Locus_30,-0.5002768871121462,0.6063627424379748,7.432758693355368e-13,7.432758693355368e-11
